"nitrate","time","day"
3,16:45:00,4
2.9,17:00:00,4
2.9,17:15:00,4
2.9,17:30:00,4
2.9,17:45:00,4
3,18:00:00,4
3,18:15:00,4
2.9,18:30:00,4
2.9,18:45:00,4
3,19:00:00,4
3,19:15:00,4
3,19:30:00,4
3,19:45:00,4
3,20:00:00,4
2.9,20:15:00,4
2.9,20:30:00,4
3,20:45:00,4
3,21:00:00,4
2.9,21:15:00,4
2.9,21:30:00,4
2.7,21:45:00,4
3,22:00:00,4
3,22:15:00,4
3,22:30:00,4
3,22:45:00,4
3,23:00:00,4
2.9,23:15:00,4
3,23:30:00,4
3,23:45:00,4
